Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;n.d.;637;474,5;7828;5831,1;19;*14,2;438;326,3
Anjou;n.d.;228;532,8;2580;6028,6;< 5;n.p.;65;151,9
Baie D'urfé;n.d.;< 5;n.p.;67;1752,6;0;;< 5;n.p.
Beaconsfield;n.d.;28;* 144,9;335;1733,6;< 5;n.p.;17;* 88
Côte-des-Neiges–Notre-Dame-de-Grâce;n.d.;606;363,9;8612;5171,8;< 5;n.p.;330;198,2
Côte-Saint-Luc;n.d.;79;243,5;1949;6006,5;< 5;n.p.;104;320,5
Dollard-des-Ormeaux;n.d.;158;323,1;1986;4061,4;< 5;n.p.;115;235,2
Dorval;n.d.;28;* 147,5;602;3171,8;0;;67;353
Hampstead;n.d.;13;* 186,4;296;4244,9;0;;< 5;n.p.
Kirkland;n.d.;23;* 114,1;497;2466,4;< 5;n.p.;31;* 153,8
Lachine;n.d.;168;377,6;2258;5075,4;< 5;n.p.;162;364,1
LaSalle;n.d.;227;295,4;4117;5357;7;n.p.;228;296,7
L'Île-Bizard–Sainte-Geneviève;n.d.;25;* 135,8;804;4366,5;< 5;n.p.;71;385,6
Mercier–Hochelaga-Maisonneuve;n.d.;492;361,7;6679;4910,2;7;n.p.;421;309,5
Montréal Est;n.d.;13;* 337,7;205;5324,7;0;;6;n.p.
Montréal-Nord;n.d.;443;525,9;7235;8589,2;15;*17,8;315;374
Montréal-Ouest;n.d.;< 5;n.p.;120;2376,2;0;;< 5;n.p.
Mont-Royal;n.d.;52;256,5;870;4290,8;0;;91;448,8
Outremont;n.d.;43;179,5;985;4112;0;;19;* 79,3
Pierrefonds–Roxboro;n.d.;229;330,5;2936;4236,8;< 5;n.p.;76;109,7
Plateau Mont-Royal;n.d.;175;168,3;3391;3260,6;10;*9,6;166;159,6
Pointe-Claire;n.d.;32;* 102;788;2511,2;0;;48;153
Rivière-des-Prairies–Pointe-aux-Trembles;n.d.;577;540,6;6944;6505,3;8;n.p.;297;278,2
Rosemont–La Petite Patrie;n.d.;313;224,2;5517;3952,3;13;*9,3;307;219,9
Sainte-Anne-de-Bellevue;n.d.;8;n.p.;106;2138;0;;12;* 242
Saint-Laurent;n.d.;545;551,5;5454;5518,7;< 5;n.p.;125;126,5
Saint-Léonard;n.d.;500;638,5;5732;7320,1;8;n.p.;108;137,9
Senneville;n.d.;0;;21;* 2280,1;0;;0;
Sud-Ouest;n.d.;147;188,1;2996;3833,6;< 5;n.p.;199;254,6
Verdun;n.d.;126;182;2373;3427,8;< 5;n.p.;184;265,8
Ville-Marie;n.d.;225;252,3;3706;4156,1;< 5;n.p.;107;120
Villeray–Saint-Michel–Parc-Extension;n.d.;639;444,2;8185;5689,8;14;*9,7;167;116,1
Westmount;n.d.;44;216,6;590;2904,7;0;;54;265,9
Territoire à confirmer;n.d.;86;;1624;;< 5;;23;
Total à Montréal;393;6914;334,7;98388;4763;133;6,4;4361;211,1
